Date,Department,Expenses,Product Category,Region,Revenue
2024-01,Sales,85000,Software,North America,120000
2024-01,Marketing,32000,Services,North America,45000
2024-01,Support,19000,Software,Europe,28000
2024-02,Sales,92000,Software,North America,135000
2024-02,Marketing,34000,Services,North America,48000
2024-02,Support,21000,Software,Europe,31000
2024-03,Sales,88000,Software,North America,128000
2024-03,Marketing,30000,Services,Asia Pacific,42000
2024-03,Support,23000,Software,Europe,35000
2024-04,Sales,95000,Software,North America,142000
2024-04,Marketing,36000,Services,Asia Pacific,52000
2024-04,Support,25000,Software,Europe,38000
2024-05,Sales,102000,Software,North America,156000
2024-05,Marketing,38000,Services,Asia Pacific,55000
2024-05,Support,27000,Software,Europe,41000
2024-06,Sales,98000,Software,North America,148000
2024-06,Marketing,35000,Services,North America,49000
2024-06,Support,28000,Software,Europe,43000
2024-07,Sales,108000,Software,North America,165000
2024-07,Marketing,40000,Services,Asia Pacific,58000
2024-07,Support,30000,Software,Europe,45000
2024-08,Sales,112000,Software,North America,172000
2024-08,Marketing,42000,Services,Asia Pacific,61000
2024-08,Support,32000,Software,Europe,48000
2024-09,Sales,105000,Software,North America,158000
2024-09,Marketing,38000,Services,North America,54000
2024-09,Support,31000,Software,Europe,46000
2024-10,Sales,115000,Software,North America,175000
2024-10,Marketing,44000,Services,Asia Pacific,65000
2024-10,Support,34000,Software,Europe,52000
2024-11,Sales,122000,Software,North America,188000
2024-11,Marketing,46000,Services,Asia Pacific,68000
2024-11,Support,36000,Software,Europe,55000
2024-12,Sales,125000,Software,North America,195000
2024-12,Marketing,48000,Services,North America,72000
2024-12,Support,38000,Software,Europe,58000
2025-01,Sales,87000,Software,North America,125000
2025-01,Marketing,34000,Services,North America,48000
2025-01,Support,22000,Software,Europe,32000
2025-02,Sales,94000,Software,North America,138000
2025-02,Marketing,36000,Services,Asia Pacific,52000
2025-02,Support,24000,Software,Europe,35000
2025-03,Sales,97000,Software,North America,145000
2025-03,Marketing,38000,Services,Asia Pacific,56000
2025-03,Support,25000,Software,Europe,38000
2025-04,Sales,101000,Software,North America,152000
2025-04,Marketing,40000,Services,Asia Pacific,59000
2025-04,Support,28000,Software,Europe,42000
2025-05,Sales,110000,Software,North America,168000
2025-05,Marketing,42000,Services,North America,63000
2025-05,Support,30000,Software,Europe,45000
2025-06,Sales,106000,Software,North America,162000
2025-06,Marketing,40000,Services,Asia Pacific,58000
2025-06,Support,32000,Software,Europe,48000
2025-07,Sales,116000,Software,North America,178000
2025-07,Marketing,46000,Services,Asia Pacific,68000
2025-07,Support,34000,Software,Europe,52000
2025-08,Sales,119000,Software,North America,185000
2025-08,Marketing,48000,Services,North America,72000
2025-08,Support,36000,Software,Europe,55000
